Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
18-July-2025,auth,254,184,6,64,0,0,,,17-July-2025,auth,254,142,72,40,0,0,,,16-July-2025,idrepo,152,101,0,0,51,0,,,15-July-2025,esignet,375,295,17,36,27,0,,,14-July-2025,auth,254,140,72,42,0,0
18-July-2025,mimoto,37,21,1,5,10,0,,,17-July-2025,esignet,375,272,38,38,27,0,,,16-July-2025,injiverify,8,6,0,2,0,0,,,15-July-2025,idrepo,152,101,0,0,51,0,,,14-July-2025,esignet,375,270,46,32,27,0
18-July-2025,dsl,163,1,160,2,0,0,,,17-July-2025,idrepo,152,101,0,0,51,0,,,16-July-2025,mimoto,37,22,1,4,10,0,,,15-July-2025,injiverify,8,6,0,2,0,0,,,14-July-2025,idrepo,152,86,14,1,51,0
,,,,,,,,,,17-July-2025,injiverify,8,6,0,2,0,0,,,16-July-2025,partner,287,219,39,29,0,0,,,15-July-2025,mimoto,37,21,1,5,10,0,,,14-July-2025,injiverify,8,8,0,0,0,0
,,,,,,,,,,17-July-2025,masterdata-ara,244,217,7,20,0,0,,,16-July-2025,prereg,104,3,70,30,0,1,,,15-July-2025,partner,287,219,39,29,0,0,,,14-July-2025,mimoto,37,21,1,5,10,0
,,,,,,,,,,17-July-2025,masterdata-eng,244,224,7,13,0,0,,,16-July-2025,dsl,163,1,160,2,0,0,,,15-July-2025,prereg,104,3,70,30,0,1,,,14-July-2025,partner,287,219,39,29,0,0
,,,,,,,,,,17-July-2025,masterdata-fra,244,217,7,20,0,0,,,,,,,,,,,,,15-July-2025,resident,375,194,37,138,0,6,,,14-July-2025,prereg,104,3,70,30,0,1
,,,,,,,,,,17-July-2025,masterdata-hin,244,210,7,27,0,0,,,,,,,,,,,,,15-July-2025,dsl,163,1,160,2,0,0,,,14-July-2025,resident,372,149,62,161,0,0
,,,,,,,,,,17-July-2025,masterdata-kan,244,210,7,27,0,0,,,,,,,,,,,,,,,,,,,,,,,14-July-2025,dsl,163,1,160,2,0,0
,,,,,,,,,,17-July-2025,masterdata-tam,244,210,7,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,17-July-2025,mimoto,37,22,1,4,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,17-July-2025,partner,287,219,39,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,17-July-2025,prereg,104,3,70,30,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,17-July-2025,dsl,163,1,160,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
