Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
22-July-2025,mimoto,176,52,4,87,33,0,,,21-July-2025,auth,610,585,0,4,5,16,,,20-July-2025,auth,610,585,0,4,5,16,,,18-July-2025,mimoto,176,143,0,0,33,0,,,17-July-2025,auth,610,586,0,3,5,16
22-July-2025,prereg,288,277,0,0,2,9,,,21-July-2025,idrepo,414,316,0,0,78,20,,,20-July-2025,idrepo,414,316,0,0,78,20,,,18-July-2025,prereg,288,277,0,0,2,9,,,17-July-2025,idrepo,414,316,0,0,78,20
,,,,,,,,,,21-July-2025,masterdata-ara,945,896,0,0,15,34,,,20-July-2025,masterdata-ara,945,896,0,0,15,34,,,,,,,,,,,,,17-July-2025,masterdata-ara,945,896,0,0,15,34
,,,,,,,,,,21-July-2025,masterdata-eng,945,923,0,0,0,22,,,20-July-2025,masterdata-eng,945,923,0,0,0,22,,,,,,,,,,,,,17-July-2025,masterdata-eng,945,923,0,0,0,22
,,,,,,,,,,21-July-2025,masterdata-fra,945,907,0,0,15,23,,,20-July-2025,masterdata-fra,945,907,0,0,15,23,,,,,,,,,,,,,17-July-2025,masterdata-fra,945,907,0,0,15,23
,,,,,,,,,,21-July-2025,masterdata-hin,945,896,0,0,15,34,,,20-July-2025,masterdata-hin,945,896,0,0,15,34,,,,,,,,,,,,,17-July-2025,masterdata-hin,945,896,0,0,15,34
,,,,,,,,,,21-July-2025,masterdata-kan,945,896,0,0,15,34,,,20-July-2025,masterdata-kan,945,896,0,0,15,34,,,,,,,,,,,,,17-July-2025,masterdata-kan,945,896,0,0,15,34
,,,,,,,,,,21-July-2025,masterdata-tam,945,896,0,0,15,34,,,20-July-2025,partner,509,495,0,0,2,12,,,,,,,,,,,,,17-July-2025,masterdata-tam,945,896,0,0,15,34
,,,,,,,,,,21-July-2025,mimoto,176,141,0,2,33,0,,,,,,,,,,,,,,,,,,,,,,,17-July-2025,partner,509,495,0,0,2,12
,,,,,,,,,,21-July-2025,partner,509,492,0,3,2,12,,,,,,,,,,,,,,,,,,,,,,,17-July-2025,resident,1142,1112,5,13,0,12
,,,,,,,,,,21-July-2025,prereg,288,277,0,0,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,21-July-2025,resident,1142,584,72,474,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
